Fecha,Ahorro,Inversion,Jubilación,Deuda,Prestamo
octubre 19 2019,"B/.	17,145.07","B/.	18,544.93",,B/.	145.60,"B/.	230,808.47"
noviembre 17 2019,"B/.	20,188.69","B/.	18,747.36",,"B/.	5,300.64","B/.	230,364.19"
diciembre 14 2019,"B/.	17,677.12","B/.	19,018.50",,"B/.	2,439.29","B/.	239,817.20"
enero 13 2020,"B/.	17,059.44","B/.	19,309.71",,"B/.	3,237.63","B/.	238,377.02"
febrero 14 2020,"B/.	18,393.19","B/.	19,619.44",,"B/.	4,273.02","B/.	237,916.65"
marzo 14 2020,"B/.	18,343.66","B/.	19,646.15",,"B/.	1,939.15","B/.	236,668.75"
abril 14 2020,"B/.	19,538.00","B/.	19,671.30",,"B/.	1,120.45","B/.	236,120.16"
mayo 15 2020,"B/.	18,937.11","B/.	22,590.98",,B/.	968.95,"B/.	235,349.10"
junio 15 2020,"B/.	20,171.43","B/.	23,089.70",,"B/.	1,510.83","B/.	234,561.53"
julio 14 2020,"B/.	22,024.64","B/.	23,362.50",,"B/.	2,811.38","B/.	234,264.13"
agosto 15 2020,"B/.	17,050.35","B/.	23,686.61",,"B/.	(2,419.32)","B/.	233,309.30"
septiembre 16 2020,"B/.	17,424.74","B/.	25,385.45",,B/.	(771.98),"B/.	232,736.57"
octubre 17 2020,"B/.	19,746.94","B/.	25,586.50",,"B/.	1,106.65","B/.	231,590.14"
noviembre 14 2020,"B/.	20,365.99","B/.	25,882.51",,"B/.	2,253.23","B/.	229,804.38"
diciembre 15 2020,"B/.	24,394.26","B/.	26,828.37",,"B/.	2,664.70","B/.	228,575.93"
enero 14 2021,"B/.	22,987.59","B/.	27,262.94",,"B/.	1,608.56","B/.	225,985.75"
febrero 12 2021,"B/.	24,482.97","B/.	27,754.68",,"B/.	1,582.19","B/.	225,386.34"
febrero 28 2021,"B/.	20,235.48","B/.	29,211.28",,B/.	562.94,"B/.	223,387.64"
marzo 31 2021,"B/.	21,592.80","B/.	30,600.79",,"B/.	1,921.90","B/.	222,698.16"
abril 30 2021,"B/.	22,602.59","B/.	31,551.93",,"B/.	1,008.89","B/.	220,578.91"
